system,common_name,description,class,responsible_division,responsibility_center,borough,division,line,in_nearest_station,track,from_point,to_point,manufacturer,tag_id,commission_date,original_install_date,latest_install_date,status,department,model,remaining_useful_life_years,legacy_system_id,criticality,switch_2020,is_critical,environment_pilot,age,div,location,structure,structure_2,usage_pilot,usage_category,usage_category_2,structure_3,trouble_calls,tcpm_all,tc_2019,tcpm_2019,tc_2020,tcpm_2020,tc_2021,tcpm_2021,tc_2022,tcpm_2022,weekly_usage_switch_cycles,usage_switch_throw,usage_category_upd,mthbf,structure_upd
303363,IRT-BBM-407A,SWM: 103 St - Model A-10 (IRT-BBM-407A),SG-SWMCH,DOS-MOW-ELE-SIG,2927,MANHATTAN,IRT,IRT-BB-BROADWAY/7AV,309-103ST-BWY7-1,IRT-BB-M,1144,1144,,303363,1/1/1900,10/6/1999,,Installed-Functioning-In Service,DOS,A-10,NA,1180801,1 - Stops Revenue Operation,407A,No,0,23,SG-S3,Mainline,0,Structure not avail,NA,NA,NA,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303364,IRT-BB4-407B,SWM: 103 St - Model A-10 (IRT-BB4-407B),SG-SWMCH,DOS-MOW-ELE-SIG,2927,MANHATTAN,IRT,IRT-BB-BROADWAY/7AV,309-103ST-BWY7-1,IRT-BB-4,1000,1000,,303364,1/1/1900,10/6/1999,,Installed-Functioning-In Service,DOS,A-10,NA,1180900,1 - Stops Revenue Operation,407B,No,Dry,23,SG-S3,Mainline,Subway,Indoor,1447,1000-2000,890-1777,SUB,0,0,NA,NA,1,0.083333333,NA,NA,NA,NA,0,250,Light,NA,Indoor
303365,IRT-BB1-409,SWM: 103 St - Model A-10 (IRT-BB1-409),SG-SWMCH,DOS-MOW-ELE-SIG,2927,MANHATTAN,IRT,IRT-BB-BROADWAY/7AV,309-103ST-BWY7-1,IRT-BB-1,900,900,,303365,1/1/1900,,,Installed-Functioning-In Service,DOS,A-10,NA,1181007,1 - Stops Revenue Operation,409,No,Dry,NA,SG-S3,Mainline,Subway,Indoor,1447,1000-2000,890-1777,SUB,0,0,1,0.083333333,1,0.083333333,NA,NA,NA,NA,0,250,Light,NA,Indoor
303366,IND-K3-33A,SWM: 104 St-Oxford - Model M5 (IND-K3-33A),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,IND,IND-K-LIBERTYAV,193-104ST-LIB-A,IND-K-3/4,54933,54933,,303366,1/1/1900,2/28/2017,,Installed-Functioning-In Service,DOS,M5,NA,2866103,1 - Stops Revenue Operation,33A,No,0,5,SG-S2,Mainline,0,Structure not avail,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Structure not avail
303367,IND-K1-33B,SWM: 104 St-Oxford - Model M5 (IND-K1-33B),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,IND,IND-K-LIBERTYAV,193-104ST-LIB-A,IND-K-1,54768,54768,,303367,1/1/1900,,,Installed-Functioning-In Service,DOS,M5,NA,2866509,1 - Stops Revenue Operation,33B,No,Dry,NA,SG-S2,Mainline,Elevated,Outdoor,606,0-1000,0-889,ELV,0,0,1,0.083333333,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Outdoor
303368,IND-K2-37A,SWM: 104 St-Oxford - Model M5 (IND-K2-37A),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,IND,IND-K-LIBERTYAV,193-104ST-LIB-A,IND-K-2,54470,54470,,303368,1/1/1900,,,Installed-Functioning-In Service,DOS,M5,NA,2865204,1 - Stops Revenue Operation,37A,No,Dry,NA,SG-S2,Mainline,Elevated,Outdoor,604,0-1000,0-889,ELV,0,0,1,0.083333333,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Outdoor
303369,IND-K3-37B,SWM: 104 St-Oxford - Model M5 (IND-K3-37B),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,IND,IND-K-LIBERTYAV,193-104ST-LIB-A,IND-K-3/4,54622,54622,,303369,1/1/1900,2/28/2017,,Installed-Functioning-In Service,DOS,M5,NA,2866608,1 - Stops Revenue Operation,37B,No,0,5,SG-S2,Mainline,0,Structure not avail,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Structure not avail
303370,IRT-F2-5A,SWM: 110 St-Central Pk N - Model A-10 (IRT-F2-5A),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IRT,IRT-F-LENOX/WHITEPLAINS,441-CENTRALPARKNORTH-110ST-LWP-2/3,IRT-F-2,5846,5846,,303370,1/1/1900,,,Installed-Functioning-In Service,DOS,A-10,NA,1181106,1 - Stops Revenue Operation,5A,No,Dry,NA,SG-S4,Mainline,Subway,Indoor,2041,2001+,1778+,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303371,IRT-F3-5B,SWM: 110 St-Central Pk N - Model A-10 (IRT-F3-5B),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IRT,IRT-F-LENOX/WHITEPLAINS,441-CENTRALPARKNORTH-110ST-LWP-2/3,IRT-F-3,5721,5721,,303371,1/1/1900,,,Installed-Functioning-In Service,DOS,A-10,NA,1181205,1 - Stops Revenue Operation,5B,No,Dry/Wet,NA,SG-S4,Mainline,Subway,Indoor,2041,2001+,1778+,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303372,IRT-F2-7A,SWM: 110 St-Central Pk N - Model A-10 (IRT-F2-7A),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IRT,IRT-F-LENOX/WHITEPLAINS,441-CENTRALPARKNORTH-110ST-LWP-2/3,IRT-F-2,5721,5721,,303372,1/1/1900,,,Installed-Functioning-In Service,DOS,A-10,NA,1180108,1 - Stops Revenue Operation,7A,No,Dry,NA,SG-S4,Mainline,Subway,Indoor,2041,2001+,1778+,SUB,0,0,1,0.083333333,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
